Gender,Age,Freq
Male,0,5332
Male,1,4570
Male,2,4979
Male,3,4789
Male,4,4884
Male,5,4787
Male,6,4619
Male,7,4506
Male,8,4436
Male,9,4322
Male,10,4445
Male,11,4216
Male,12,4157
Male,13,4213
Male,14,4461
Male,15,4122
Male,16,4272
Male,17,4104
Male,18,4219
Male,19,4382
Male,20,4491
Male,21,4248
Male,22,4295
Male,23,3784
Male,24,4132
Male,25,3861
Male,26,4004
Male,27,3625
Male,28,4293
Male,29,3619
Male,30,5186
Male,31,2811
Male,32,3662
Male,33,2960
Male,34,3422
Male,35,3510
Male,36,3813
Male,37,2707
Male,38,3687
Male,39,2801
Male,40,4654
Male,41,1899
Male,42,2595
Male,43,2100
Male,44,2074
Male,45,2834
Male,46,2229
Male,47,1803
Male,48,2338
Male,49,1671
Male,50,3546
Male,51,1206
Male,52,1739
Male,53,1344
Male,54,1629
Male,55,1491
Male,56,1640
Male,57,1084
Male,58,1390
Male,59,1127
Male,60,1933
Male,61,858
Male,62,982
Male,63,910
Male,64,1002
Male,65,1091
Male,66,854
Male,67,788
Male,68,978
Male,69,890
Male,70,1043
Male,71,623
Male,72,740
Male,73,608
Male,74,584
Male,75,440
Male,76,390
Male,77,232
Male,78,249
Male,79,154
Male,80,191
Male,81,110
Male,82,110
Male,83,94
Male,84,66
Male,85,44
Male,86,47
Male,87,34
Male,88,31
Male,89,13
Male,90,31
Male,91,8
Male,92,7
Male,93,3
Male,94,4
Male,95,2
Male,96,2
Male,97,1
Male,98,1
Male,99,1
Male,100,1
Male,101,1
Male,102,0
Male,103,0
Male,104,1
Male,105,0
Male,106,0
Male,107,0
Male,108,0
Male,109,1
Female,0,5147
Female,1,4484
Female,2,4788
Female,3,4943
Female,4,4652
Female,5,4645
Female,6,4648
Female,7,4470
Female,8,4270
Female,9,4142
Female,10,4259
Female,11,4165
Female,12,4224
Female,13,4062
Female,14,4332
Female,15,4142
Female,16,4578
Female,17,4707
Female,18,4951
Female,19,4865
Female,20,5347
Female,21,4767
Female,22,5525
Female,23,5113
Female,24,5386
Female,25,5186
Female,26,5291
Female,27,4597
Female,28,5591
Female,29,4361
Female,30,6405
Female,31,2865
Female,32,4040
Female,33,3187
Female,34,3921
Female,35,3869
Female,36,4101
Female,37,2970
Female,38,4108
Female,39,2983
Female,40,5653
Female,41,1778
Female,42,2807
Female,43,2297
Female,44,2358
Female,45,3015
Female,46,2501
Female,47,2084
Female,48,2823
Female,49,1958
Female,50,4475
Female,51,1253
Female,52,1797
Female,53,1512
Female,54,1804
Female,55,1775
Female,56,1820
Female,57,1280
Female,58,1676
Female,59,1149
Female,60,2864
Female,61,875
Female,62,1205
Female,63,1145
Female,64,1294
Female,65,1440
Female,66,1167
Female,67,1049
Female,68,1258
Female,69,1197
Female,70,1885
Female,71,1023
Female,72,1461
Female,73,1175
Female,74,982
Female,75,865
Female,76,696
Female,77,411
Female,78,460
Female,79,286
Female,80,447
Female,81,174
Female,82,227
Female,83,155
Female,84,185
Female,85,105
Female,86,121
Female,87,81
Female,88,55
Female,89,51
Female,90,61
Female,91,23
Female,92,27
Female,93,16
Female,94,14
Female,95,16
Female,96,6
Female,97,8
Female,98,7
Female,99,9
Female,100,0
Female,101,1
Female,102,0
Female,103,0
Female,104,0
Female,105,0
Female,106,0
Female,107,1
Female,108,0
Female,109,0
