Week,Date,Topic,Readings,Slides,Lab,Assignment
1,Sep 02,Introduction to statistical inference and motivating examples,[RStudio](https://www.rstudio.com/products/rstudio/download/preview/),csc,scs,
2,Sep 07,,,,,
 ,Sep 09,,,,,[A1 due Sep 30](https://github.com/sahirbhatnagar/EPIB607/blob/master/inst/figures/Bortkewitsch1898section12.jpg)
3,Sep 14,,,,,
 ,Sep 16,,,,,
4,Sep 21,,,,,
 ,Sep 23,,,,,
5,Sep 28,,,,,
 ,Sep 30,,,,,
6,Oct 05,,,,,
 ,Oct 07,,,,,
7,Oct 12,,,,,
 ,Oct 14,,,,,
8,Oct 19,,,,,
 ,Oct 21,Midterm,,,,
9,Oct 26,,,,,
 ,Oct 28,,,,,
10,Nov 02,,,,,
 ,Nov 04,,,,,
11,Nov 09,,,,,
 ,Nov 11,,,,,
12,Nov 16,,,,,
 ,Nov 18,,,,,
13,Nov 23,,,,,
 ,Nov 25,,,,,
14,Nov 30,,,,,
,Dec 02,,,,,
,Dec 09,Final,,,,
